matchID,matchNum,red1,red2,red3,blue1,blue2,blue3
2024txfor_qm1,1,7540,4153,6672,7271,9407,9081
2024txfor_qm2,2,9492,9105,7503,7321,3310,2687
2024txfor_qm3,3,3005,8512,9156,4251,7492,5908
2024txfor_qm4,4,9088,9080,2582,8088,2689,7534
2024txfor_qm5,5,9752,5411,4206,4295,418,2468
2024txfor_qm6,6,7506,9407,8512,9081,3310,9156
2024txfor_qm7,7,6672,7271,4251,2689,7503,5908
2024txfor_qm8,8,5411,9105,9080,7534,3005,4206
2024txfor_qm9,9,9088,8088,4295,7492,9752,2687
2024txfor_qm10,10,2468,4153,7506,7321,7540,418
2024txfor_qm11,11,9081,2582,3005,7271,9080,9492
2024txfor_qm12,12,3310,5908,9752,2687,4206,6672
2024txfor_qm13,13,8512,418,8088,9105,9156,4295
2024txfor_qm14,14,7492,2468,2689,4153,7321,9407
2024txfor_qm15,15,2582,4251,7534,7540,5411,7503
2024txfor_qm16,16,2687,9492,9088,7506,9080,3310
2024txfor_qm17,17,9407,6672,7492,418,2689,3005
2024txfor_qm18,18,9156,9752,7540,4153,4295,5411
2024txfor_qm19,19,8088,4206,7506,7503,4251,8512
2024txfor_qm20,20,9088,7271,7534,5908,2468,9105
2024txfor_qm21,21,9081,9492,4295,6672,2582,7321
2024txfor_qm22,22,4251,9156,7540,9080,8512,7492
2024txfor_qm23,23,5411,5908,418,3005,8088,3310
2024txfor_qm24,24,7321,7503,4206,2687,7534,4153
2024txfor_qm25,25,9407,2468,9088,2582,7506,9492
2024txfor_qm26,26,9105,2689,7271,9081,9752,4251
2024txfor_qm27,27,4295,7540,3310,418,7503,9080
2024txfor_qm28,28,9492,7321,3005,9156,7534,9407
2024txfor_qm29,29,5908,2687,7271,2582,2468,5411
2024txfor_qm30,30,7492,9081,8512,9105,8088,9752
2024txfor_qm31,31,2689,4206,4153,6672,7506,9088
2024txfor_qm32,32,9080,9156,7321,7271,3005,2468
2024txfor_qm33,33,7492,2687,9105,4251,9081,5411
2024txfor_qm34,34,8088,4153,2582,4206,8512,7540
2024txfor_qm35,35,7534,3310,418,9752,2689,6672
2024txfor_qm36,36,4295,7503,7506,9492,9088,9407
2024txfor_qm37,37,5908,9081,7321,9080,7540,8088
2024txfor_qm38,38,2468,7534,9752,418,9156,2582
2024txfor_qm39,39,2689,9407,2687,4206,7492,4295
2024txfor_qm40,40,7503,3310,4153,8512,5411,7271
2024txfor_qm41,41,9492,5908,6672,4251,9105,7506
2024txfor_qm42,42,3005,4295,2687,9088,9081,7540
2024txfor_qm43,43,7503,7492,8088,4153,7271,9752
2024txfor_qm44,44,2468,4206,9156,6672,9492,5411
2024txfor_qm45,45,2689,7321,4251,3310,2582,9105
2024txfor_qm46,46,9407,418,9080,8512,9088,5908
2024txfor_qm47,47,7506,7534,9081,4153,3005,7492
2024txfor_qm48,48,7540,7271,8088,3310,9492,2468
2024txfor_qm49,49,9080,4251,2689,4206,418,9088
2024txfor_qm50,50,3005,9407,7503,2687,5411,9156
2024txfor_qm51,51,7534,6672,9105,9752,7506,7321
2024txfor_qm52,52,4206,5908,2582,8512,4295,2689
2024txfor_qm53,53,5411,9088,3310,9156,7492,7271
2024txfor_qm54,54,9752,9080,9492,418,4251,4153
2024txfor_qm55,55,7321,8512,7534,7506,2687,5908
2024txfor_qm56,56,7540,9105,3005,7503,6672,2468
2024txfor_qm57,57,4295,2582,9081,9407,8088,4206
2024txfor_qm58,58,5411,7321,7492,3310,9088,4251
2024txfor_qm59,59,9156,4153,9492,7534,7540,2689
2024txfor_qm60,60,2468,2687,8512,8088,6672,9081
2024txfor_qm61,61,7271,7506,418,9105,4295,9407
2024txfor_qm62,62,2582,9752,7503,5908,3005,9080
