matchNum,num1red,num1blue,num2red,num2blue,num3red,num3blue,redAmps,blueAmps,info
45,2,1,1,2,3,3,4,4,joojohuhlhkjhlkjh

2,3,3,2,1,1,3,0,0,"R 1 - 9137 didn't work 
R 2 - 9524 bad human station intake was there the whole game
R 3 - 9448 trouble with human station and scoring speaker

B 1 - 4597 didn't show
B 2 - 418 did really well but fouled a lot
B 3 - 8625 didn't show"
3,2,3,1,1,3,2,0,0,"R 1 - 5503 stopped working halfway hung in endgame
R 2 - 6369 failed intake in auto but potential decent speaker accuracy good human player
R 3 - 8114 didn't show

B 1 - 8827 bad human intake parked at the end
B 2 - 4610 bad driving and attempts to throw notes back poorly
B 3 - 4332 didn't really do anything, intake no score"
4,3,2,1,3,2,1,0,0,"R 1 - 9664 didn't show
R 2 - 5726 trouble with human intake
R 3 - 8879 ground intake sporadic driving

B 1 - 2789 ground intake but gets suck on notes
B 2 - 3743 bad human intake
B 3 - 9054 missed 2 got one in speaker human and ground intake"
5,1,1,2,1,1,1,0,0,"R 1 - 8507 bad driving
R 2 - 2583 auto ground intake
R 3 - 5052 didn't show
 
B 1 - 5414 didn't really work
B 2 - 4364 stopped working for a bit didn't do much little bit of defense
B 3 - 7138 trouble with human intake"
6,1,1,2,2,1,2,0,0,"R 1 - 9121 trouble with human intake
R 2 - 6357 solid speaker with decent mobility
R 3 - 4717 almost hung endgame other than that nothing

B 1 - 8749 didn't do much
B 2 - 3561 clean end game hang not much else
B 3 - 3679 far shot across field"
7,1,1,1,1,1,3,0,0,"B 1 - 5892 decent
B 2 - 6155 decent nothing crazy
B 3 - 3847 good fast auto speaker rotation fast amp rotation and defense endgame hang

R 1 - 3802 bad driving
R 2 - 8019 whole intake broke off
R 3 - 5894 trouble with intake"
8,1,3,2,2,3,1,0,0,"Blue 1: 8625***NOT ON FIELD***

Blue 2: 8114 
Missed a few shots. 

Blue 3: 8610
Good defense against our robot


Red 1: 9418
Had an auto close to ours. Start shot and then let us take over for auto. Fast cycles. Climbed on chain with 8598 but 8598 was a little too loose and it counted as touching the ground

Red 2: 418

Red 3: 8598"
9,1,1,1,1,1,1,0,0,"Blue 1: 2789
Blue 2: 9524
Blue 3: 8879
Red 1: 4332
Red 2: 9054
Red 3: 9140

NOTES:
Only one ring was scored in auto. All robots just sat around. 4332 has a really slow cycle time. All the bots are slow both in speed and aiming time. 8879 does not have enough power to make almost any shots. No human players made a spotlight. 8879 got climb but barely. "
10,1,1,3,1,2,1,0,0,"Blue 1: 8507
Blue 2: 5103
Blue 3: 9137
Red 1: 2583 - Scored two rings in auto
Red 2: 5726
Red 3: 5503

Notes:
Whole red team is taking a long time per cycle. None are ground intake (except 5503 which has slow ground take). 55726 Has a very slow player intake; it gets stuck easily on the rim of the intake. Two spotlights made by blue team and one from red team. "
11,3,3,2,1,1,2,1,0,"Blue 1: 8749
Blue 2: 4717
Blue 3: 3743
Red 1: 4364
Red 2: 4610
Red 3: 9448

Notes:
One missed shot during auto by 9448. All other bots just moved slightly. 8749 has driving problems still can move though. 9448 had problems about shooting and moving over notes. Held a not for a long time and did not shoot at all. 4610 was stuck around the human station. It could leave but didn't. No robots climbed."
,2,1,3,3,2,2,0,0,"Blue 1: 9121
Blue 2: 5414
Blue 3: 8019
Red 1: 5894
Red 2: 5892
Red 3: 3679

Notes:
5892 was able to move very smoothly in auto and was able to maneuver in order to score these pieces. Miles told me to write that 8019 has RGB lights on their robot - Style points? 3679 is able to move under the stage. I noticed that 3679 is able to pick up these game pieces consistently. 5414 looks like a good robot. Best of the robots in this game so far. 5414 is able to shoot extremely quickly. They are able to score speaker and amp. 5892 was able to hand but 5414 was able to win the match even with teammates who were kitbots. They scored most of the 14 notes that were scored."
,1,1,3,2,2,3,0,0,"Blue 1: 6357 - Only to make notes but dropped a lot
Blue 2: 3802 - Got climbing 
Blue 3: 6155
Red 1: 3847 - good shooting and ground intake. Hits the wall alot. Almost scored trap
Red 2: 7138 Sat a long time on the chain but got climb points. Did not contribute many notes.
Red 3: 4597 "
14,3,2,2,3,1,1,0,0,"Blue 1: 5052
Blue 2: 9664
Blue 3: 3561
Red 1: 9506
Red 2: 8827
Red 3: 6369 - made one auto ring

Notes:
6369 is much more capable than all other bots. 9664 is a kit bot and so is 3561 it looks like. 3561 ha a slow cycle time and low accuracy. 3561 did climb."
15,3,1,2,1,2,2,0,1,"Blue 1: 9140
Blue 2: 9137
Blue 3: 2583
Red 1: 9418
Red 2: 2789
Red 3: 8507

Notes:
Autos were not super reliable for these groups. 9418 does not always pick up the note on their first try, which is something to keep in mind. 8507 does not have a swerve drive, so it is harder to maneuver around for them. 8507 climb relies on pneumatics so they do not always make it on the first try. 2789 was physically unstable, so it may not be a reliable choice."
16,1,2,3,1,2,3,0,0,"Blue 1: 4610 - Is a kit bot
Blue 2: 8749
Blue 3: 5103 - Is a kit bot
 Red 1: 4364
 Red 2: 8879 - Is a kit bot
 Red 3: 8610

Notes: 
Scored one point per team for auto while other robots did not move. 5103 is disabled/very broken.4364 is doing heavy defense not allowing 4610 to leave intake. 8749 has fast cycle times and is not being defended allowing it to score alot. Whole red team was defending against 4610. 8749 climbed. A ton of penalties for red team. Bad communication between 4610 and their driver."
,1,1,2,1,3,2,0,0," Red 1: 8114
 Red 2: 9054
 Red 3:8019
Blue 1: 3743
Blue 2: 6625
Blue 3: 5726
3743 is a kitbot is not that good. 9045 is a kitbot. 8019 is able to move very smoothly, but not quickly. IT has some jagged movements and is having some trouble in this match. This could be ont he driver, but needs to be checked. 5726 is blocking the robotics from scoring. this robot is doing very good defense. 3743 has been having trouble picking up game pieces in this game."
,2,2,1,3,2,1,0,2,"Blue 1- 4717
Blue 2 - 8598
Blue 3 - 5894 
Red 1 - 4332
Red 2 - 3802
Red 3 - 7138

7138 looks like kitbot with angleable shooter. Red team not going for auto  very much. 8598 very aggressive in scoring and ground intake is impressive. 3802 also kitbot and mobility not very good with not scoring many points. 4332 a swerve drive but not angling their shoot very well. "
,3,3,3,3,3,3,3,3,"Blue 1- 6357
Blue 2-5892
Blue 3- 5503

Red 1- 8827
Red 2 - 3679
Red 3 - 5414

6357 auto doesnt seem too good, 5892 very aggresive and 5503 mobility very good. 5503 playing defense while 6357 and 5892 are scoring. 5414 and 3679 mobility very good, and 8827 not scoring much. although 3679 is passing notes to teammates. 5414 is scoring majority of points.

"
,3,3,1,1,1,2,0,0,"Blue Team 1 - 418 (us!)
Blue Team 2 - 9506
Blue Team 3 - 3561
Red team 1 - 6369
Red team 2 - 4597
Red team 3 - 6155

4597 didn't play this game. 418 perfect auto. 6369 good attacking and 9506 not much good mobility or shooting. 6155 mainly trying to play defense and trapping, and 9506 and 6115 in a lock. 6369 and 418 also in a lock. 3561 playing defense for most of the game

"
,1,1,3,1,1,1,0,0,"Blue team 1 - 9448
Blue team 2 - 9121
Blue team 3 - 9664
Red team 1 - 5052
Red team 2 - 3847
Red team 3 - 9524

9448 straight line into crash into 3847 in auto, auto not working well. 3847 has a really good auto. also 3847 has incredible attack. 9524 mainly trying to go for amp. 9121 not getting much mobility and doing nothing much, with 9664 having an unstable drivetrain. blue trying to play defense but THEIR METAL BREAKS OFF OF THEIR robot"
,3,1,1,1,3,2,0,0,"Blue 1- 9137
Blue 2 - 9054
Blue 3 - 4364
Red 1- 8019
Red 2 - 5103
Red 3 - 9140
Both teams autos not verygood. 8019 red auto only one scoring. 8019 also has good mobility and good attack. 5103 with good mobility but not very much attack, and 4364 also has good mobility with not very much attack. 9054 not very good attack and mainly scoring amps, 9140 also getting a pretty good attack later in the match. only 9054 got climb"
,1,2,2,3,1,2,0,1,"Blue team 1 - 7138
Blue team 2- 8598
Blue team 3- 8749
Red team 1- 4610
Red team 2- 8114
Red team 3 - 2789


8114 auto only one scoring, also has good attack. 7138 with not good mobility and not good attack, 2789 has a kitbot shooter with ground intake and overall good mobility, and getting a good amount of points. 8598 getting good attack with a lot of mobility, and 7138 not gettinga lot of points. 6749  has really good mobility but not a good shooter overall. 

"
,1,2,2,1,3,1,0,0,"Blue team 1 - 3743
Blue team 2- 8879
Blue team 3 - 5894
Red team 1 - 5503
Red team 2 - 4717
Red team 3- 3679

3679 auto good, getting most of the notes, 5894 very mobile  and trying to be attacking, attacking well. 8879 having a weird drivetrain but overall stable shooting. 3697 also being very fast and very good shooting, with 4717 having decent mobility. 5503 with not very good mobility and drive, and not getting very many points. 3743 also pretty fast and mainly trying to get amp. only 5894 getting climb."
